Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,42.35,42.42,41.70,41.72,2915300,41.72
2013-12-31,42.45,42.52,42.25,42.39,1553000,42.39
2013-12-30,42.12,42.48,42.09,42.38,1146400,42.38
2013-12-27,42.13,42.41,42.01,42.20,1051200,42.20
2013-12-26,42.27,42.37,42.09,42.24,938800,42.24
2013-12-24,42.08,42.47,41.91,42.25,551700,42.25
2013-12-23,42.32,42.53,42.11,42.16,1093300,42.16
2013-12-20,41.98,42.35,41.91,42.11,2711400,42.11
2013-12-19,41.82,41.93,41.26,41.88,1665800,41.88
2013-12-18,41.46,42.03,40.93,42.01,1844400,42.01
2013-12-17,41.72,41.83,41.38,41.51,1376400,41.51
2013-12-16,41.76,42.09,41.63,41.74,2203300,41.74
2013-12-13,41.62,41.77,41.33,41.59,3603500,41.59
2013-12-12,40.86,41.53,40.86,41.37,3132500,41.37
2013-12-11,40.82,41.28,40.64,40.96,4933300,40.96
2013-12-10,41.29,41.31,41.00,41.05,3054900,40.68
2013-12-09,41.64,41.72,41.13,41.34,1305500,40.97
2013-12-06,41.20,41.59,41.11,41.58,1409700,41.21
2013-12-05,41.05,41.21,40.79,40.91,1691200,40.54
2013-12-04,40.71,41.31,40.60,41.12,1567900,40.75
